,Date,NewConfCases,NewDeaths,Open,High,Low,Close,Adj Close,Volume,Daily Adj close change 2020,Daily Volume change 2020,Year,Month,Day,period
0,2019-12-31,27,0.0,3215.179932,3231.719971,3212.030029,3230.780029,3230.780029,2893810000.0,9.489990000000034,-119480000.0,2019.0,12.0,31.0,12 - 31
1,2020-01-01,0,0.0,,,,,,,,,,,,
2,2020-01-02,0,0.0,3244.669922,3258.139893,3235.530029,3257.850098,3257.850098,3458250000.0,27.070068999999876,564440000.0,2020.0,1.0,2.0,1 - 2
3,2020-01-03,17,0.0,3226.360107,3246.149902,3222.340088,3234.850098,3234.850098,3461290000.0,-23.0,3040000.0,2020.0,1.0,3.0,1 - 3
4,2020-01-04,0,0.0,,,,,,,,,,,,
5,2020-01-05,15,0.0,,,,,,,,,,,,
6,2020-01-06,0,0.0,3217.550049,3246.840088,3214.639893,3246.280029,3246.280029,3674070000.0,11.429931000000124,212780000.0,2020.0,1.0,6.0,1 - 6
7,2020-01-07,0,0.0,3241.860107,3244.909912,3232.429932,3237.179932,3237.179932,3420380000.0,-9.100097000000005,-253690000.0,2020.0,1.0,7.0,1 - 7
8,2020-01-08,0,0.0,3238.590088,3267.070068,3236.669922,3253.050049,3253.050049,3720890000.0,15.870116999999937,300510000.0,2020.0,1.0,8.0,1 - 8
9,2020-01-09,0,0.0,3266.030029,3275.580078,3263.669922,3274.699951,3274.699951,3638390000.0,21.64990200000011,-82500000.0,2020.0,1.0,9.0,1 - 9
10,2020-01-10,0,0.0,3281.810059,3282.98999,3260.860107,3265.350098,3265.350098,3212970000.0,-9.349853000000167,-425420000.0,2020.0,1.0,10.0,1 - 10
11,2020-01-11,0,1.0,,,,,,,,,,,,
12,2020-01-12,0,0.0,,,,,,,,,,,,
13,2020-01-13,1,0.0,3271.1298829999996,3288.1298829999996,3268.429932,3288.1298829999996,3288.1298829999996,3456380000.0,22.77978499999972,243410000.0,2020.0,1.0,13.0,1 - 13
14,2020-01-14,0,0.0,3285.350098,3294.25,3277.189941,3283.149902,3283.149902,3665130000.0,-4.979980999999498,208750000.0,2020.0,1.0,14.0,1 - 14
15,2020-01-15,1,1.0,3282.27002,3298.659912,3280.689941,3289.290039,3289.290039,3716840000.0,6.140136999999868,51710000.0,2020.0,1.0,15.0,1 - 15
16,2020-01-16,0,0.0,3302.969971,3317.110107,3302.820068,3316.810059,3316.810059,3535080000.0,27.52001999999993,-181760000.0,2020.0,1.0,16.0,1 - 16
17,2020-01-17,5,0.0,3323.659912,3329.8798829999996,3318.860107,3329.6201170000004,3329.6201170000004,3698170000.0,12.810058000000481,163090000.0,2020.0,1.0,17.0,1 - 17
18,2020-01-18,17,0.0,,,,,,,,,,,,
19,2020-01-19,136,1.0,,,,,,,,,,,,
20,2020-01-20,20,0.0,,,,,,,,,,,,
21,2020-01-21,153,3.0,3321.030029,3329.790039,3316.610107,3320.790039,3320.790039,4105340000.0,-8.830078000000412,407170000.0,2020.0,1.0,21.0,1 - 21
22,2020-01-22,142,11.0,3330.02002,3337.77002,3320.040039,3321.75,3321.75,3619850000.0,0.9599610000000212,-485490000.0,2020.0,1.0,22.0,1 - 22
23,2020-01-23,97,0.0,3315.77002,3326.8798829999996,3301.8701170000004,3325.540039,3325.540039,3764860000.0,3.790038999999979,145010000.0,2020.0,1.0,23.0,1 - 23
24,2020-01-24,266,9.0,3333.100098,3333.179932,3281.530029,3295.469971,3295.469971,3707130000.0,-30.070067999999992,-57730000.0,2020.0,1.0,24.0,1 - 24
25,2020-01-25,453,15.0,,,,,,,,,,,,
26,2020-01-26,673,15.0,,,,,,,,,,,,
27,2020-01-27,797,25.0,3247.159912,3258.850098,3234.5,3243.6298829999996,3243.6298829999996,3823100000.0,-51.84008800000038,115970000.0,2020.0,1.0,27.0,1 - 27
28,2020-01-28,1767,25.0,3255.350098,3285.780029,3253.219971,3276.23999,3276.23999,3526720000.0,32.610107000000426,-296380000.0,2020.0,1.0,28.0,1 - 28
29,2020-01-29,1480,26.0,3289.459961,3293.469971,3271.889893,3273.399902,3273.399902,3584500000.0,-2.8400879999999233,57780000.0,2020.0,1.0,29.0,1 - 29
30,2020-01-30,1756,38.0,3256.449951,3285.909912,3242.800049,3283.659912,3283.659912,3787250000.0,10.260009999999966,202750000.0,2020.0,1.0,30.0,1 - 30
31,2020-01-31,2003,43.0,3282.330078,3282.330078,3214.679932,3225.52002,3225.52002,4527830000.0,-58.139892000000145,740580000.0,2020.0,1.0,31.0,1 - 31
32,2020-02-01,2120,46.0,,,,,,,,,,,,
33,2020-02-02,2608,46.0,,,,,,,,,,,,
34,2020-02-03,2818,57.0,3235.659912,3268.439941,3235.659912,3248.919922,3248.919922,3757910000.0,23.39990200000011,-769920000.0,2020.0,2.0,3.0,2 - 3
35,2020-02-04,3243,65.0,3280.610107,3306.919922,3280.610107,3297.590088,3297.590088,3995320000.0,48.67016599999988,237410000.0,2020.0,2.0,4.0,2 - 4
36,2020-02-05,3907,66.0,3324.909912,3337.580078,3313.75,3334.689941,3334.689941,4117730000.0,37.09985300000017,122410000.0,2020.0,2.0,5.0,2 - 5
37,2020-02-06,3751,72.0,3344.919922,3347.959961,3334.389893,3345.780029,3345.780029,3868370000.0,11.090087999999923,-249360000.0,2020.0,2.0,6.0,2 - 6
38,2020-02-07,3218,73.0,3335.540039,3341.419922,3322.1201170000004,3327.709961,3327.709961,3730650000.0,-18.070067999999992,-137720000.0,2020.0,2.0,7.0,2 - 7
39,2020-02-08,3442,86.0,,,,,,,,,,,,
40,2020-02-09,2619,89.0,,,,,,,,,,,,
41,2020-02-10,2988,97.0,3318.280029,3352.26001,3317.77002,3352.090088,3352.090088,3450350000.0,24.380126999999902,-280300000.0,2020.0,2.0,10.0,2 - 10
42,2020-02-11,2565,108.0,3365.8701170000004,3375.6298829999996,3352.719971,3357.75,3357.75,3760550000.0,5.659912000000077,310200000.0,2020.0,2.0,11.0,2 - 11
43,2020-02-12,2072,97.0,3370.5,3381.469971,3369.719971,3379.4499509999996,3379.4499509999996,3926380000.0,21.6999509999996,165830000.0,2020.0,2.0,12.0,2 - 12
44,2020-02-13,15151,255.0,3365.899902,3385.0900880000004,3360.5200200000004,3373.9399409999996,3373.9399409999996,3498240000.0,-5.510009999999966,-428140000.0,2020.0,2.0,13.0,2 - 13
45,2020-02-14,4215,13.0,3378.080078,3380.6899409999996,3366.149902,3380.1599119999996,3380.1599119999996,3398040000.0,6.219970999999987,-100200000.0,2020.0,2.0,14.0,2 - 14
46,2020-02-15,2560,144.0,,,,,,,,,,,,
47,2020-02-16,2162,142.0,,,,,,,,,,,,
48,2020-02-17,2067,106.0,,,,,,,,,,,,
49,2020-02-18,1995,98.0,3369.040039,3375.01001,3355.610107,3370.290039,3370.290039,3746720000.0,-9.869872999999643,348680000.0,2020.0,2.0,18.0,2 - 18
50,2020-02-19,1864,139.0,3380.389893,3393.5200200000004,3378.830078,3386.149902,3386.149902,3600150000.0,15.859863000000132,-146570000.0,2020.0,2.0,19.0,2 - 19
51,2020-02-20,532,116.0,3380.4499509999996,3389.149902,3341.02002,3373.2299799999996,3373.2299799999996,4007320000.0,-12.919922000000497,407170000.0,2020.0,2.0,20.0,2 - 20
52,2020-02-21,996,119.0,3360.5,3360.76001,3328.449951,3337.75,3337.75,3899270000.0,-35.479979999999614,-108050000.0,2020.0,2.0,21.0,2 - 21
53,2020-02-22,1085,112.0,,,,,,,,,,,,
54,2020-02-23,1008,104.0,,,,,,,,,,,,
55,2020-02-24,527,156.0,3257.610107,3259.810059,3214.649902,3225.889893,3225.889893,4842960000.0,-111.86010699999997,943690000.0,2020.0,2.0,24.0,2 - 24
56,2020-02-25,793,79.0,3238.939941,3246.98999,3118.77002,3128.209961,3128.209961,5591510000.0,-97.67993200000001,748550000.0,2020.0,2.0,25.0,2 - 25
57,2020-02-26,863,64.0,3139.899902,3182.51001,3108.98999,3116.389893,3116.389893,5478110000.0,-11.820067999999992,-113400000.0,2020.0,2.0,26.0,2 - 26
58,2020-02-27,1106,38.0,3062.540039,3097.070068,2977.389893,2978.76001,2978.76001,7058840000.0,-137.62988300000006,1580730000.0,2020.0,2.0,27.0,2 - 27
59,2020-02-28,1264,57.0,2916.899902,2959.719971,2855.840088,2954.219971,2954.219971,8563850000.0,-24.54003899999998,1505010000.0,2020.0,2.0,28.0,2 - 28
60,2020-02-29,1838,64.0,,,,,,,,,,,,
61,2020-03-01,1821,58.0,,,,,,,,,,,,
62,2020-03-02,2044,67.0,2974.280029,3090.959961,2945.189941,3090.22998,3090.22998,6376400000.0,136.01000900000008,-2187450000.0,2020.0,3.0,2.0,3 - 2
63,2020-03-03,1595,72.0,3096.459961,3136.719971,2976.6298829999996,3003.3701170000004,3003.3701170000004,6355940000.0,-86.85986299999968,-20460000.0,2020.0,3.0,3.0,3 - 3
64,2020-03-04,2413,84.0,3045.75,3130.969971,3034.3798829999996,3130.1201170000004,3130.1201170000004,5035480000.0,126.75,-1320460000.0,2020.0,3.0,4.0,3 - 4
65,2020-03-05,2239,80.0,3075.699951,3083.040039,2999.830078,3023.939941,3023.939941,5575550000.0,-106.1801760000003,540070000.0,2020.0,3.0,5.0,3 - 5
66,2020-03-06,2856,103.0,2954.199951,2985.929932,2901.540039,2972.3701170000004,2972.3701170000004,6552140000.0,-51.5698239999997,976590000.0,2020.0,3.0,6.0,3 - 6
67,2020-03-07,3961,103.0,,,,,,,,,,,,
68,2020-03-08,3691,97.0,,,,,,,,,,,,
69,2020-03-09,3871,229.0,2863.889893,2863.889893,2734.429932,2746.560059,2746.560059,8423050000.0,-225.81005800000048,1870910000.0,2020.0,3.0,9.0,3 - 9
70,2020-03-10,4537,209.0,2813.47998,2882.590088,2734.0,2882.22998,2882.22998,7635960000.0,135.66992100000016,-787090000.0,2020.0,3.0,10.0,3 - 10
71,2020-03-11,4378,269.0,2825.600098,2825.600098,2707.219971,2741.3798829999996,2741.3798829999996,7374110000.0,-140.85009700000046,-261850000.0,2020.0,3.0,11.0,3 - 11
72,2020-03-12,6887,326.0,,,,,,,,,,,,
73,2020-03-13,8352,351.0,,,,,,,,,,,,
74,2020-03-14,9375,438.0,,,,,,,,,,,,
75,2020-03-15,8140,354.0,,,,,,,,,,,,
76,2020-03-16,16051,746.0,,,,,,,,,,,,
